,zip,gentrification_score,latitude,longitude,median_sale_price,percent_change_home_price,parent_metro_region,total_stores,occupation,total_employment,jobs_per_1000,annual_mean_salary,annual_median_salary,city_year,total_population_over_16,labor_force,percent_in_labor_vs_population,unemployment,information_industry_population,information_as_percent_of_labor
122,78723,114,30.304274,-97.685715,275075.0,-0.3897315731573157,"Austin, TX",2.0,Computer and Mathematical Occupations,71170.0,67.506,93190.0,88460.0,austin_2019,28232.0,21059.0,74.6,3.2,797.0,3.9
123,78724,103,30.292599,-97.618171,321795.08196721313,0.5062402201195114,"Austin, TX",0.0,Computer and Mathematical Occupations,71170.0,67.506,93190.0,88460.0,austin_2019,17732.0,11988.0,67.6,6.2,119.0,1.1
124,78727,64,30.429937,-97.717796,464458.3333333333,1.45169244335911,"Austin, TX",2.0,Computer and Mathematical Occupations,71170.0,67.506,93190.0,88460.0,austin_2019,25651.0,19304.0,75.3,4.9,660.0,3.6
125,78728,53,30.45417,-97.692183,522650.7941176471,0.4428952023364205,"Austin, TX",0.0,Computer and Mathematical Occupations,71170.0,67.506,93190.0,88460.0,austin_2019,17007.0,13020.0,76.6,3.9,333.0,2.7
126,78730,11,30.370266,-97.836156,1162736.8421052631,0.4800012234870724,"Austin, TX",0.0,Computer and Mathematical Occupations,71170.0,67.506,93190.0,88460.0,austin_2019,7848.0,5669.0,72.2,2.0,274.0,5.0
127,78732,24,30.377889,-97.895023,756830.0,0.2928790757986562,"Austin, TX",0.0,Computer and Mathematical Occupations,71170.0,67.506,93190.0,88460.0,austin_2019,12861.0,8779.0,68.3,1.8,407.0,4.7
128,78733,56,30.321329,-97.884738,502931.0,-0.0226313734270744,"Austin, TX",0.0,Computer and Mathematical Occupations,71170.0,67.506,93190.0,88460.0,austin_2019,6524.0,4337.0,66.5,2.7,135.0,3.2
129,78734,37,30.378736,-97.950592,596666.6666666666,-0.2240060589797186,"Austin, TX",1.0,Computer and Mathematical Occupations,71170.0,67.506,93190.0,88460.0,austin_2019,15590.0,9942.0,63.8,5.3,296.0,3.1
130,78736,45,30.261084,-97.959435,572000.0,-0.1619047619047618,"Austin, TX",1.0,Computer and Mathematical Occupations,71170.0,67.506,93190.0,88460.0,austin_2019,8207.0,5580.0,68.0,3.4,117.0,2.2
131,78737,21,30.190246,-97.956906,800000.0,-0.0303030303030302,"Austin, TX",1.0,Computer and Mathematical Occupations,71170.0,67.506,93190.0,88460.0,austin_2019,12322.0,8534.0,69.3,3.3,238.0,2.9
132,78738,35,30.319748,-97.958224,622500.0,0.0199871345271938,"Austin, TX",3.0,Computer and Mathematical Occupations,71170.0,67.506,93190.0,88460.0,austin_2019,12247.0,8005.0,65.4,2.4,225.0,2.9
133,78739,31,30.17842,-97.888662,649884.6153846154,-0.1698853059508796,"Austin, TX",0.0,Computer and Mathematical Occupations,71170.0,67.506,93190.0,88460.0,austin_2019,14914.0,10303.0,69.1,2.5,549.0,5.5
134,78741,132,30.230506,-97.714185,184722.22222222225,-0.657635323104793,"Austin, TX",1.0,Computer and Mathematical Occupations,71170.0,67.506,93190.0,88460.0,austin_2019,44118.0,35229.0,79.9,4.3,1106.0,3.3
135,78742,142,30.242354,-97.6592,117000.0,-0.6536844698058213,"Austin, TX",0.0,Computer and Mathematical Occupations,71170.0,67.506,93190.0,88460.0,austin_2019,680.0,441.0,64.9,1.1,17.0,3.9
136,78744,121,30.176044,-97.727787,253666.66666666663,-0.4113541290880402,"Austin, TX",1.0,Computer and Mathematical Occupations,71170.0,67.506,93190.0,88460.0,austin_2019,37231.0,27292.0,73.3,4.9,411.0,1.6
137,78745,51,30.206851,-97.797384,529000.0,0.0372549019607844,"Austin, TX",1.0,Computer and Mathematical Occupations,71170.0,67.506,93190.0,88460.0,austin_2019,52644.0,39961.0,75.9,3.3,1306.0,3.4
138,78747,80,30.126966,-97.739969,417150.0,0.3473399209985137,"Austin, TX",0.0,Computer and Mathematical Occupations,71170.0,67.506,93190.0,88460.0,austin_2019,16776.0,12067.0,71.9,5.3,598.0,5.3
139,78748,122,30.16711,-97.823998,245833.3333333333,-0.6844470281970282,"Austin, TX",4.0,Computer and Mathematical Occupations,71170.0,67.506,93190.0,88460.0,austin_2019,41535.0,31498.0,75.8,2.5,858.0,2.8
140,78749,38,30.216184,-97.85585,593000.0,-0.0116666666666667,"Austin, TX",3.0,Computer and Mathematical Occupations,71170.0,67.506,93190.0,88460.0,austin_2019,30637.0,23144.0,75.5,3.1,787.0,3.5
141,78750,58,30.418557,-97.802545,497100.0,0.2690822939594033,"Austin, TX",1.0,Computer and Mathematical Occupations,71170.0,67.506,93190.0,88460.0,austin_2019,25188.0,17836.0,70.8,5.2,505.0,3.0
142,78751,137,30.310782,-97.722759,148527.7777777778,-0.543890277351039,"Austin, TX",0.0,Computer and Mathematical Occupations,71170.0,67.506,93190.0,88460.0,austin_2019,14781.0,11840.0,80.1,3.9,354.0,3.1
143,78753,89,30.382462,-97.673473,375500.0,0.1683438155136267,"Austin, TX",1.0,Computer and Mathematical Occupations,71170.0,67.506,93190.0,88460.0,austin_2019,46798.0,34567.0,73.9,4.7,605.0,1.8
144,78756,133,30.32223,-97.740167,184214.2857142857,-0.5265639885063609,"Austin, TX",1.0,Computer and Mathematical Occupations,71170.0,67.506,93190.0,88460.0,austin_2019,7593.0,5967.0,78.6,1.4,280.0,4.8
145,78758,60,30.387979,-97.706853,485000.0,-0.0398847376788553,"Austin, TX",2.0,Computer and Mathematical Occupations,71170.0,67.506,93190.0,88460.0,austin_2019,39372.0,30554.0,77.6,3.9,852.0,2.9
