,city_year,zip_code,total_population_over_16,labor_force,percent_in_labor_vs_population,unemployment,information_industry_population,information_as_percent_of_labor
0,austin_2011,77418,7382,4418,59.8,5.2,17,0.4
1,austin_2011,77426,1294,597,46.1,0.2,0,0.0
2,austin_2011,77473,67,39,58.2,7.7,0,0.0
3,austin_2011,77474,10066,7039,69.9,6.4,40,0.6
4,austin_2011,77485,2749,1612,58.6,2.5,19,1.2
5,austin_2011,77833,22458,13129,58.5,5.3,298,2.4
6,austin_2011,77835,1864,912,48.9,2.5,17,1.9
7,austin_2011,78931,193,94,48.7,0.0,0,0.0
8,austin_2011,78933,955,607,63.6,7.2,31,5.5
9,austin_2011,78940,1818,1188,65.3,1.9,39,3.3
10,austin_2011,78944,456,284,62.3,2.1,5,1.8
11,austin_2011,78950,1764,1195,67.7,5.8,9,0.8
12,austin_2011,78954,979,558,57.0,0.0,0,0.0
13,austin_2012,77418,7142,4125,57.8,8.4,50,1.3
14,austin_2012,77426,1552,828,53.4,3.7,0,0.0
15,austin_2012,77473,72,33,45.8,6.1,0,0.0
16,austin_2012,77474,9940,6745,67.9,8.7,53,0.9
17,austin_2012,77485,2938,1760,59.9,2.8,27,1.6
18,austin_2012,77833,22804,12986,56.9,4.1,326,2.6
19,austin_2012,77835,1671,841,50.3,4.3,0,0.0
20,austin_2012,78931,113,52,46.0,0.0,0,0.0
21,austin_2012,78933,1199,824,68.7,4.7,30,3.8
22,austin_2012,78940,1682,1090,64.8,1.7,29,2.7
23,austin_2012,78944,552,337,61.1,0.9,11,3.3
24,austin_2012,78950,1988,1280,64.4,6.0,10,0.8
25,austin_2012,78954,1007,537,53.3,2.2,0,0.0
26,austin_2013,77418,7338,4382,59.7,8.7,36,0.9
27,austin_2013,77426,1798,928,51.6,3.2,0,0.0
28,austin_2013,77473,76,46,60.5,19.6,0,0.0
29,austin_2013,77474,9859,6644,67.4,9.4,22,0.4
30,austin_2013,77485,3075,1840,59.8,3.0,32,1.8
31,austin_2013,77833,22408,12459,55.6,4.5,236,2.0
32,austin_2013,77835,1944,1072,55.1,4.3,0,0.0
33,austin_2013,78931,176,99,56.3,0.0,0,0.0
34,austin_2013,78933,1248,817,65.5,3.9,0,0.0
35,austin_2013,78940,2027,1263,62.3,1.8,25,2.0
36,austin_2013,78944,551,303,55.0,6.6,4,1.4
37,austin_2013,78950,2135,1313,61.5,6.9,10,0.8
38,austin_2013,78954,926,482,52.1,2.7,0,0.0
39,austin_2014,77418,7488,4370,58.4,6.4,32,0.8
40,austin_2014,77426,1710,955,55.8,4.5,0,0.0
41,austin_2014,77473,56,34,60.7,47.1,0,0.0
42,austin_2014,77474,9870,6705,67.9,8.5,77,1.3
43,austin_2014,77485,3018,1921,63.7,3.6,35,1.9
44,austin_2014,77833,23214,12764,55.0,4.0,265,2.2
45,austin_2014,77835,1821,933,51.2,2.3,0,0.0
46,austin_2014,78931,150,77,51.3,0.0,0,0.0
47,austin_2014,78933,1167,651,55.8,0.0,0,0.0
48,austin_2014,78940,1964,1187,60.4,1.8,16,1.4
49,austin_2014,78944,526,307,58.4,5.5,4,1.4
50,austin_2014,78950,2270,1416,62.4,6.4,35,2.6
51,austin_2014,78954,922,416,45.1,4.8,0,0.0
52,austin_2015,77418,7875,4551,57.8,6.4,34,0.8
53,austin_2015,77426,1826,861,47.2,3.5,0,0.0
54,austin_2015,77473,64,44,68.8,31.8,0,0.0
55,austin_2015,77474,9731,6739,69.3,6.9,75,1.2
56,austin_2015,77485,3274,2001,61.1,3.8,57,3.0
57,austin_2015,77833,23284,12898,55.4,4.9,231,1.9
58,austin_2015,77835,1706,930,54.5,2.4,0,0.0
59,austin_2015,78931,153,57,37.3,0.0,0,0.0
60,austin_2015,78933,1059,552,52.1,0.0,0,0.0
61,austin_2015,78940,1866,1052,56.4,1.2,16,1.5
62,austin_2015,78944,429,290,67.6,7.6,5,1.9
63,austin_2015,78950,2041,1134,55.6,5.5,32,3.0
64,austin_2015,78954,904,410,45.4,6.3,0,0.0
65,austin_2016,77418,8000,4426,55.3,7.7,32,0.8
66,austin_2016,77426,2014,1040,51.6,3.4,0,0.0
67,austin_2016,77473,66,42,63.6,26.2,0,0.0
68,austin_2016,77474,9713,6604,68.0,5.2,95,1.5
69,austin_2016,77485,3394,1900,56.0,5.1,67,3.7
70,austin_2016,77833,23429,13056,55.7,4.8,217,1.7
71,austin_2016,77835,1710,957,56.0,2.4,0,0.0
72,austin_2016,78931,143,56,39.2,0.0,0,0.0
73,austin_2016,78933,1026,563,54.9,0.0,0,0.0
74,austin_2016,78940,1851,1009,54.5,1.6,10,1.0
75,austin_2016,78944,508,336,66.1,6.8,5,1.6
76,austin_2016,78950,2120,1083,51.1,4.1,29,2.8
77,austin_2016,78954,974,462,47.4,5.4,0,0.0
78,austin_2017,77418,8195,4590,56.0,9.7,0,0.0
79,austin_2017,77426,1994,1109,55.6,7.3,0,0.0
80,austin_2017,77473,80,43,53.8,25.6,0,0.0
81,austin_2017,77474,9816,6617,67.4,2.9,66,1.0
82,austin_2017,77485,3667,1941,52.9,5.3,26,1.4
83,austin_2017,77833,23233,13214,56.9,5.4,199,1.6
84,austin_2017,77835,2231,1295,58.0,5.3,0,0.0
85,austin_2017,78931,212,125,59.0,0.0,0,0.0
86,austin_2017,78933,1034,487,47.1,0.0,0,0.0
87,austin_2017,78940,2042,1128,55.2,1.4,9,0.8
88,austin_2017,78944,481,304,63.2,11.8,2,0.7
89,austin_2017,78950,1768,966,54.6,2.2,19,2.0
90,austin_2017,78954,1117,545,48.8,3.1,0,0.0
